certificate_id,domain_name,common_name,issuer,certificate_type,environment,agency_name,owning_team,issue_date,expiration_date,days_to_expiry,renewal_threshold_days,status,auto_renew_enabled,csr_required,last_renewal_date,deployment_status,validation_status,serial_number,fingerprint_sha256,alert_sent,notes,certificate_path,private_key_path
CERT-002,portal.agency02.ms.gov,portal.agency02.ms.gov,Let's Encrypt,wildcard,production,Mississippi Department of Health,Infra Team,2025-08-07,2026-08-21,136,15,active,no,yes,2025-08-07,deployed,passed,1E06F720F916325E31A09A1396F5F408B9D129ED,6C:2E:76:1E:2D:8C:F7:07:A6:4E:6A:60:F7:9A:0B:2A:05:78:78:A1:06:1D:59:18:55:75:E9:62:67:8F:C2:C8,no,Certificate is healthy.,generated_certificates\certs\portal.agency02.ms.gov.crt,generated_certificates\keys\portal.agency02.ms.gov.key
CERT-003,portal.agency03.ms.gov,portal.agency03.ms.gov,Entrust,DV,production,Mississippi Department of Finance,Engineering,2025-06-17,2026-04-28,21,45,expiring_soon,no,yes,2025-06-17,deployed,pending,1BCA86AF091070F108E193C47A2B525A27203F2D,E1:37:2D:36:B4:F7:61:8D:34:6C:54:5A:E1:38:D0:3E:A6:90:10:24:21:BA:07:8D:47:3D:39:CA:BC:E5:A8:36,yes,Renewal should be triggered soon.,generated_certificates\certs\portal.agency03.ms.gov.crt,generated_certificates\keys\portal.agency03.ms.gov.key
CERT-004,portal.dev.agency04.ms.gov,portal.dev.agency04.ms.gov,Let's Encrypt,internal,production,Mississippi Department of Labor,QA Team,2025-10-06,2026-09-09,155,60,renewed,yes,no,2026-04-06,deployed,passed,4346C1212D8B755F3A2E5E904ADE06678A01E5D2,9B:6F:0E:C4:D6:90:C3:A3:33:03:9C:66:B6:65:A4:17:5F:0C:57:2D:79:D1:46:F7:C7:B6:F6:BF:CC:FF:06:6A,no,Recently renewed successfully.,generated_certificates\certs\portal.dev.agency04.ms.gov.crt,generated_certificates\keys\portal.dev.agency04.ms.gov.key
CERT-005,portal.dev.agency05.ms.gov,portal.dev.agency05.ms.gov,Amazon Trust Services,wildcard,dev,Mississippi Department of Finance,Engineering,2026-01-05,2026-03-22,-16,45,failed,yes,no,2026-01-05,failed,failed,3EE257431FAF915243A58CA8A7C966CA99025A2B,00:0F:F8:B9:36:DB:04:5B:46:42:C1:02:DF:47:D8:45:34:BF:A8:EA:C9:58:8D:55:3D:BA:12:34:52:F5:75:9F,yes,Renewal or deployment failed in testing.,generated_certificates\certs\portal.dev.agency05.ms.gov.crt,generated_certificates\keys\portal.dev.agency05.ms.gov.key
CERT-006,portal.dev.agency06.ms.gov,portal.dev.agency06.ms.gov,Amazon Trust Services,EV,dev,Mississippi Department of Transportation,Platform Team,2026-01-20,2026-04-09,2,60,expiring_soon,no,yes,2026-01-20,deployed,pending,60D84A49A2B0E0DB9F7AA24DF1C2648AE50BD64F,0E:BE:4A:15:61:9C:93:40:47:3B:90:4E:BB:3F:83:26:36:29:4A:98:CA:66:6A:08:D6:9C:D2:D7:B2:7F:01:FE,yes,Renewal should be triggered soon.,generated_certificates\certs\portal.dev.agency06.ms.gov.crt,generated_certificates\keys\portal.dev.agency06.ms.gov.key
CERT-007,api.staging.agency07.ms.gov,api.staging.agency07.ms.gov,Entrust,EV,staging,Mississippi Department of Finance,Engineering,2026-02-25,2026-04-17,10,15,pending_renewal,no,no,2026-02-25,pending,pending,0378EA8D48C2E6CCC37849A37F627265592AE95C,25:95:88:23:22:1E:EC:54:EF:13:7C:6A:A2:37:8C:7D:8E:CF:B9:F7:86:C4:26:A5:B3:57:BD:11:10:6C:ED:4F,yes,CSR generated; waiting for deployment.,generated_certificates\certs\api.staging.agency07.ms.gov.crt,generated_certificates\keys\api.staging.agency07.ms.gov.key
CERT-008,education.agency08.ms.gov,education.agency08.ms.gov,DigiCert,wildcard,production,Mississippi Department of Education,DevOps,2025-07-15,2026-04-19,12,15,expiring_soon,yes,yes,2025-07-15,deployed,pending,19430A72615457982BDED5CFC2692DF292299233,D3:0F:34:71:EC:6A:F9:44:36:6F:41:37:97:04:AC:37:91:E9:85:D0:33:0B:15:D9:0F:BD:04:AD:3D:62:4F:60,yes,Renewal should be triggered soon.,generated_certificates\certs\education.agency08.ms.gov.crt,generated_certificates\keys\education.agency08.ms.gov.key
CERT-009,health.staging.agency09.ms.gov,health.staging.agency09.ms.gov,GlobalSign,EV,staging,Mississippi Department of Health,Infra Team,2025-11-16,2026-04-16,9,15,failed,yes,no,2025-11-16,failed,failed,77C48B034566BB5200BA3655B0994BA991851B8D,99:5F:6D:8F:F3:20:44:E1:A0:D7:38:3D:40:98:CC:9A:89:C6:BF:0F:D7:E7:B5:21:24:09:1F:CA:91:0F:27:3E,yes,Renewal or deployment failed in testing.,generated_certificates\certs\health.staging.agency09.ms.gov.crt,generated_certificates\keys\health.staging.agency09.ms.gov.key
CERT-010,login.dev.agency10.ms.gov,login.dev.agency10.ms.gov,DigiCert,internal,production,Mississippi Department of Finance,Engineering,2025-09-06,2026-04-05,-2,15,expired,yes,no,2025-09-06,failed,failed,7077E3D515E80AAEED86A5C42657C05A6375DBEA,CD:52:B2:F4:A5:B7:31:7C:D2:8F:34:5C:25:58:13:AB:86:BC:18:EE:0A:C4:1C:2A:6B:9F:E3:75:FD:98:99:4F,yes,Certificate expired before renewal.,generated_certificates\certs\login.dev.agency10.ms.gov.crt,generated_certificates\keys\login.dev.agency10.ms.gov.key
CERT-011,education.dev.agency11.ms.gov,education.dev.agency11.ms.gov,Entrust,wildcard,dev,Mississippi Citizen Services,Identity Team,2025-10-18,2026-04-12,5,45,pending_renewal,yes,no,2025-10-18,pending,pending,71EF36062A27DCFC8A2D4DD2BA2B9BA22FBCF912,7F:74:70:6F:12:D4:B9:7A:0D:DF:1A:50:F5:40:C2:9B:9B:EA:C4:1A:05:A6:B1:2F:B3:00:29:FE:4A:36:2F:0B,yes,CSR generated; waiting for deployment.,generated_certificates\certs\education.dev.agency11.ms.gov.crt,generated_certificates\keys\education.dev.agency11.ms.gov.key
